id;fecha;factura_nro;timbrado;razon_social;ruc;condicion_venta;total;clientes_id
1;2023-05-23;Industrial intuitive SMTP;73779;input technologies;distributed Optional;CONTADO;79969;1
2;2023-05-23;withdrawal Communications;91479;Future;Principal;CONTADO;40550;2
3;2023-05-23;synthesize implement;84457;generate Rand driver;bandwidth;CONTADO;55337;3
4;2023-05-23;bluetooth;37340;Ball;virtual Massachusetts;CONTADO;40202;4
5;2023-05-22;Unbranded Function-based;60385;Mexico;Cambridgeshire;CONTADO;32283;5
6;2023-05-23;neural-net Maryland;76132;Marketing bypassing Executive;Cambridgeshire Avon;CONTADO;61535;6
7;2023-05-23;Credit Buckinghamshire Checking;69640;connect;Berkshire cyan;CONTADO;71649;7
8;2023-05-23;infrastructure up;58741;bandwidth;Borders bluetooth RSS;CONTADO;33072;8
9;2023-05-23;Borders;65767;array real-time;orchid copy;CONTADO;11139;9
10;2023-05-23;Thailand Mill experiences;41952;Berkshire;reboot;CONTADO;43069;10
